Ticket ID,Title,Status,Priority,Created At,Updated At,Created By,Assigned To
TCKT-D5E98B6A,Test Ticket for Notification,Open,Medium,2026-03-31 12:13,2026-04-06 11:07,testagent,testagent
TCKT-6A5FE2A0,bug issue,Open,Medium,2026-03-31 09:23,2026-04-06 11:07,pandu,yash
API-TEST-4,Test Ticket 4 days ago,In Progress,Medium,2026-03-30 22:25,2026-04-04 08:50,Admin,
API-TEST-3,Test Ticket 3 days ago,Resolved,High,2026-03-30 22:25,2026-03-30 22:25,Admin,
API-TEST-2,Test Ticket 2 days ago,Open,Low,2026-03-30 22:25,2026-03-30 22:25,Admin,
API-TEST-1,Test Ticket 1 days ago,Resolved,Medium,2026-03-30 22:25,2026-03-30 22:25,Admin,
API-TEST-0,Test Ticket 0 days ago,Open,High,2026-03-30 22:25,2026-03-30 22:25,Admin,
TODAY-4,Test Ticket 4 - Resolved,Resolved,Medium,2026-03-30 22:24,2026-03-30 22:24,Admin,
TODAY-3,Test Ticket 3 - Open,Open,High,2026-03-30 22:24,2026-03-30 22:24,Admin,
TODAY-2,Test Ticket 2 - In Progress,In Progress,Low,2026-03-30 22:24,2026-03-30 22:24,Admin,
TODAY-1,Test Ticket 1 - Resolved,Resolved,Medium,2026-03-30 22:24,2026-03-30 22:24,Admin,
TODAY-0,Test Ticket 0 - Open,Open,High,2026-03-30 22:24,2026-03-30 22:24,Admin,
TEST-1002,Feature Request,In Progress,Low,2026-03-30 22:24,2026-03-30 22:24,Admin,
TEST-1001,Performance Issue,Resolved,Medium,2026-03-30 22:24,2026-03-30 22:24,Admin,
TEST-1000,Login Issue Today,Open,High,2026-03-30 22:24,2026-03-30 22:24,Admin,
TEST-001,Test Ticket for Chat,Resolved,Medium,2026-03-09 16:17,2026-03-30 15:43,customer,
TEST001,Test Ticket,Resolved,Medium,2026-03-03 12:36,2026-03-30 15:43,test_admin,test_agent
TCKT-39CDC9E0,This is a valid ticket title for testing,Resolved,Medium,2026-03-02 16:41,2026-03-30 15:23,testuser_title,
TCKT-A8C9096C,This is a valid ticket title for testing,Open,Medium,2026-03-02 16:39,2026-03-03 12:57,testuser_title,
TCKT-065961A5,This is a very long ticket title that exceeds the maximum character limit of one hundred characters and should be rejected by the validation system,Resolved,Medium,2026-03-02 16:39,2026-03-15 19:21,testuser_title,yash
TCKT-7220FA69,Hi,In Progress,Medium,2026-03-02 16:39,2026-03-03 13:01,testuser_title,yash
TCKT-CA896BBB,Simple Form Test Ticket,Open,Medium,2026-03-02 15:54,2026-03-02 15:54,testuser_simple,
TCKT-3C0B1720,Debug Test Ticket,Open,High,2026-03-02 15:48,2026-03-02 15:48,testuser_debug,
TCKT-8AF1C62A,Final AJAX Test Ticket,Open,Medium,2026-03-02 15:37,2026-03-02 15:37,testuser_final_ajax,
TCKT-DED89B34,Updated AJAX Test Ticket,Open,High,2026-03-02 15:33,2026-03-02 15:33,testuser_updated,
TCKT-3D443C57,Simple AJAX Test,Open,Medium,2026-03-02 15:29,2026-03-02 15:29,testuser_simple,
TCKT-9E8537CE,Test Ticket from Dashboard,Open,Medium,2026-03-02 15:22,2026-03-02 15:22,testuser_dashboard_ticket,
TCKT-5331049C,Test Ticket Submission,Resolved,Medium,2026-03-02 15:13,2026-03-30 15:48,testuser_ticket_sub,
TCKT-74CE79D7,hjkl,Open,Medium,2026-03-02 11:59,2026-03-14 15:15,guest,
TCKT-A6A995A7,saiii,Open,Medium,2026-03-02 11:59,2026-03-14 15:19,guest,
TCKT-063FF545,dfgh,Open,Medium,2026-03-02 11:58,2026-03-14 15:19,guest,
TCKT-E72061B5,Test title length check,Open,Medium,2026-03-02 11:49,2026-03-02 11:49,guest,
TCKT-3DFA4A3B,Tdfghj,Resolved,Medium,2026-03-02 11:49,2026-03-30 15:36,guest,
TCKT-8E5F4FE7,zxcvbnm,Open,Medium,2026-03-02 11:49,2026-03-14 15:21,guest,
TCKT-96943FC8,cvbn,Open,Medium,2026-03-02 11:49,2026-03-14 15:19,guest,
TCKT-BBA42F92,ertyuii,Open,Medium,2026-03-02 11:47,2026-03-14 15:20,guest,
SEC-TCK-002,Security Test Ticket 2,Open,Medium,2026-03-02 09:35,2026-03-02 09:35,testuser2,
SEC-TCK-001,Security Test Ticket 1,Open,Medium,2026-03-02 09:35,2026-03-02 09:35,testuser1,
TCKT-ADFA1752,New Chat Conversation,In Progress,Medium,2026-01-30 22:16,2026-03-31 15:09,pandu,yash
TCKT-947A44B8,New Chat Conversation,In Progress,Medium,2026-01-30 22:15,2026-03-03 16:28,pandu,yash
TCKT-D77109EF,New Chat Conversation,Open,Medium,2026-01-30 22:14,2026-02-27 15:09,pandu,sathvi1
TCKT-BD714032,New Chat Conversation,Resolved,Medium,2026-01-30 22:12,2026-02-27 15:22,pandu,vasu
TCKT-9669A98B,New Chat Conversation,Open,Medium,2026-01-30 22:12,2026-01-30 22:12,pandu,
TCKT-D0001DCB,Test,Open,Medium,2026-01-30 22:01,2026-01-30 22:01,arikatlasathvika,
TCKT-E2E82869,New Chat Conversation,Open,Medium,2026-01-30 21:48,2026-01-30 21:48,arikatlasathvika,
TCKT-3BDA4DA1,dsakfljdklss,Open,High,2026-01-30 10:44,2026-01-30 10:44,testinguser,
TCKT-D653D54F,Testing Ticket,Open,Medium,2026-01-30 10:39,2026-01-30 10:39,testinguser,
TCKT-E944F638,laptop issue,Open,Low,2026-01-29 10:03,2026-01-29 10:03,pandu,
TCKT-0A1BB9F7,bug issue,Open,Medium,2026-01-29 09:53,2026-01-29 10:00,pandu,
TCKT-F718E710,bug issue,Open,Medium,2026-01-29 09:52,2026-01-29 09:52,pandu,
TCKT-D3C3F2D3,bug issue,Open,Medium,2026-01-29 09:52,2026-03-11 14:50,pandu,testlogin
TCKT-033A9B66,bug issue,Open,Medium,2026-01-29 09:51,2026-03-11 14:50,pandu,testlogin
TCKT-16DEFB95,saikodati,Resolved,High,2025-12-19 15:42,2025-12-19 15:49,pandu,
TCKT-065C66EB,asdfghj,Resolved,Medium,2025-12-17 13:18,2025-12-18 10:19,pandu,
TCKT-D00B06DD,mahi,Open,Medium,2025-12-17 12:55,2026-03-11 14:50,pandu,testlogin
TCKT-821B1866,sathvi,Resolved,Medium,2025-12-17 09:41,2025-12-17 11:22,pandu,
TCKT-1971A4AF,tyhjk,Open,Medium,2025-12-16 15:21,2026-03-11 14:50,siva,testlogin
TCKT-CEEF2928,jlk;,Resolved,Medium,2025-12-15 12:58,2025-12-15 17:50,siva,
TCKT-1CB14EDE,sai,Resolved,Medium,2025-12-12 12:07,2025-12-16 11:29,siva,
TCKT-DC58AADD,report issue,In Progress,High,2025-12-03 16:38,2025-12-15 15:55,siva,
TCKT-78FB97CD,failed to laod the server,Resolved,Medium,2025-11-29 17:46,2025-12-15 17:32,siva,
TCKT-B003BA99,bug issue,Open,Medium,2025-11-25 12:18,2026-03-11 14:50,siva,testlogin
